S.no.,Youtube Channel Name,URL to channel,Primary Channel Category (Anti-Vaxx/General info on vaccines/Pro-Vaxx/Vaccination Finder/Mixed...Add new ones as you see fit),Secondary Channel Category,No. of Subscribers,Terms_start (Term that got you here),"Any other method that led you to the channel [News Piece, Algorithm Recommendation etc.]",RA Name (Coder),Notes,
1,Parents For Healthcare Rights,https://www.youtube.com/user/Dicklaurent74/featured,Anti-Vaxx,,"13,000",,Found through the data-set,Ulas,,
2,What's going on?,https://www.youtube.com/channel/UCIQWl7Vsw2BkNF3IDp7W_sg/videos,Anti-Vaxx,Conspiracy,112,Vax Hoax,,Ulas,"These may get removed from our tracking if we get enough in list with >500 subscribers. If that's difficult, we could make the number 100.",
3,A Taste of Medicine,https://www.youtube.com/channel/UCUL6210K8wHs1nenNh5gtAA/videos,General info on vaccines,,114,Moderna vaccine,,Ulas,"These may get removed from our tracking if we get enough in list with >500 subscribers. If that's difficult, we could make the number 100.",
4,Pascal Juang MD,https://www.youtube.com/channel/UCrfOP0dgfFhxAYILfsHKGiw/about,General info on vaccines,,237,Moderna vaccine,,Ulas,"These may get removed from our tracking if we get enough in list with >500 subscribers. If that's difficult, we could make the number 100.",
5,Dr. John Campbell ,https://www.youtube.com/c/Campbellteaching/videos,General info on vaccines,,"930,000",,Youtube algorithm,Ulas,,
6,MedCram - Medical Lectures Explained CLEARLY,https://www.youtube.com/c/Medcram/videos,General info on vaccines,,"1,600,000",,Youtube algorithm,Ulas,,
7,OVALmedia in English,https://www.youtube.com/channel/UCtx0AYvGYw4uxug_zPAfVIA,"13,000",Dr. Sucharit Bhakdi,,Ulas,,
8,Dr. Hong's Pharmacy Classroom,https://www.youtube.com/channel/UCFbWA0wLcQk3eoRv6nIb-1A,General info on vaccines,,896,CoronaVac,,Julia,"Many of these channels are doctors providing general info about COVID-19, with the vast majority of recent videos being about the pandemic",
9,Whiteboard Doctor,https://www.youtube.com/channel/UCiMhM7xCTT8b5SJRnhpH7Ag,General info on vaccines,,"17,400",CoronaVac,,Julia,,
10,Drbeen Medical Lectures,https://www.youtube.com/c/USMLEOnline/featured,General info on vaccines,,"279,000",Pfizer,,Julia,,
11,"F. Perry Wilson, MD",https://www.youtube.com/channel/UCu4OHd94MHqjlMp_Mgks84w,General info on vaccines,,"8,890",Hydroxychloroquine,,Julia,,
12,Triggernometry,https://www.youtube.com/channel/UC7oPkqeHTwuOZ5CZ-R9f-6w,General info on vaccines,,"238,000",Dr. Sucharit Bhakdi,,Ulas,Has some videos on covid,
13,OH MY GOD,https://www.youtube.com/channel/UC78Iz691HisenUxRwnFkk1Q/videos,Conspiracy,,923,Dr. Sucharit Bhakdi,,Ulas,Has some videos on covid,
14,PANDA,https://www.youtube.com/channel/UCDdN8LSNc3onvOyCd_UR5wg,Anti-Vaxx,Mixed,"3,800",Dr. Sucharit Bhakdi,,Ulas,"This channel is interesting, they seem to be against the lock-down measures etc. but not vaccine. But with some google search I have seen that Youtube took their content down.",
15,Mercola,https://www.youtube.com/c/mercola/videos,Anti-Vaxx,Mixed,"379,000",Mercola,,Sam,,
16,Erin Elizabeth at Health Nut News,https://www.youtube.com/user/rawfoodsretreat/featured,Anti-Vaxx,Mixed,"47,800",Mercola,,Sam,Mercola's wife,
17,DrStella Immanuel,https://www.youtube.com/user/firpowerministries,General info on vaccines,Anti-Vaxx,"44,400",Dr. stella immanuel ,,Sam,,
18,Doctor Mike Hansen,https://www.youtube.com/channel/UCMSsLqxqvZsNXi0Z-VjN89A,General info on vaccines,,"621,000",Vitamin D Covid,,Julia,,
19,"Christy Risinger, MD",https://www.youtube.com/channel/UCsROLRYekI50Ew8GXRWYn2g/featured,General info on vaccines,,"91,800",Vitamin D Covid,,Julia,,
20,STRANGER THAN FICTION NEWS,https://www.youtube.com/channel/UCs152rb_PU7LuxzwZ4SpbjA/videos,Mixed ,,"19,500",,Found via Covid misinformation spreadsheet,Julia,,
21,The Truth About Vaccines,https://www.youtube.com/channel/UCnZ_o5cpwkHJuEYjPtM0j5A,Anti-Vaxx,,"74,800",vaccine,,Isra,,
22,Vaccine Risks,https://www.youtube.com/channel/UCbsEOodoIrWNrBhsqXIW1Vg,General info on vaccines,,"2,880",vaccine,,Isra,,
23,Vaccine Myth,https://www.youtube.com/user/TheVaccineMyth,Anti-Vaxx,,"1,960",vaccine,,Isra,,
24,Vaccine Wars,https://www.youtube.com/channel/UCL8IU3JsDLxAQKsdLBahwwQ,Anti-Vaxx,,"23,900",vaccine,,Isra,,
25,Hear This Well: Breaking the Silence on Vaccine Violence,https://www.youtube.com/channel/UCFCrfK5rP_B6huriP1hLApw,Anti-Vaxx,,"3,880",vaccine,,Isra,Most recent video is 6 years ago,
26,Vaccine Rights,https://www.youtube.com/channel/UC9F4ptzf85Zl2mTskvJV3Aw,Anti-Vaxx,,870,vaccine,,Isra,,
27,DO NOT TAKE THE VACCINE,https://www.youtube.com/channel/UCiLrcNHBTdsLZlMOSZzwBIQ/videos,Anti-Vaxx,,863,vaccine,,Isra,Not COVID-19 vaccine related,
28,LarryCook333,https://www.youtube.com/user/LarryCook333,Anti-Vaxx,,"52,000",vaccine,,Isra,,
29,GreenMedInfo.com,https://www.youtube.com/channel/UC948hzpVhfoHjkjWObJHV3Q,Anti-Vaxx,General,"15,300",,,Isra,,
30,Drbeen Medical Lectures,https://www.youtube.com/channel/UCrtd2wePvAl6RN_D-9jWVQQ,General info on vaccines,,"279,000",,Found a German doctor called Dr. Wolfgang Wodarg from https://digicomnet.org/doctors-disinformation.  Then somehow it led me to that one through searchs and algorithm,Ulas,https://www.youtube.com/watch?v=YzNU-eCTQfA,A lot of discussions and skepticism going on in the comments section with a anti-vaccine leaning tone
31,TrialSite News,https://www.youtube.com/channel/UC4tNlDJkV_YdwMErMRutt4A,General info on vaccines,,"41,200",,Youtube recommendations of the video above,Ulas,https://www.youtube.com/watch?v=Jkwn5I8tLmE&t=23s,Comments are interesting
32,Doctor Mike ,https://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw,General info on vaccines,,"6,999,000",,Youtube recommendations of the video above,Ulas,https://www.youtube.com/watch?v=hnTvJqKv6oc,JJ video
33,Doctor Mike Hansen,hhttps://www.youtube.com/channel/UCMSsLqxqvZsNXi0Z-VjN89A,General info on vaccines,,"621,000",vaccine hoax,,Ulas,https://www.youtube.com/watch?v=UijQ-6jhVuc,JJ video
34,Dr Pal,https://www.youtube.com/channel/UCP4k407eomZThGHo_9sgMkg,General info on vaccines,,"61,700",Johnson and Johnson,,Ulas,,
35,Dr. Suneel Dhand,https://www.youtube.com/channel/UCU-Jctu4JTEGFtVnsuqdd5Q/about,General info on vaccines,,"50,700",,Youtube algorithm,Ulas,https://www.youtube.com/watch?v=nBAHRgtuI4I,"where he explains why he is skeptic, a lot of anti-vac comments"
36,Russell Brand,https://www.youtube.com/c/RussellBrand/videos,General info on vaccines,Anti-Vaxx-Passports,"3,060,000",,Youtube algorithm,Ulas,Has some videos on covid,
37,Dr. Sam Bailey,https://www.youtube.com/channel/UCyD52JnQnXkLe5HGm4IArHw,General info on vaccines,,"229,000",,Found a German doctor called Klaus Kohnlein  from https://digicomnet.org/doctors-disinformation.  Then somehow it led me to that one through searchs and algorithm,Ulas,Seems like she spreads a lot of disinformation about covid,
38,ZDoggMD,https://www.youtube.com/c/ZDoggMD/videos,General info on vaccines,,"337,000",,Youtube algorithm,Ulas,https://www.youtube.com/watch?v=oLj437UsfK4,his video about clot risks
39,GreenMedInfo.com,https://www.youtube.com/channel/UC948hzpVhfoHjkjWObJHV3Q,Mixed ,Anti-Vaxx,"15,300",Sayer Ji, Based on the report: https://252f2edd-1c8b-49f5-9bb2-cb57bb47e4ba.filesusr.com/ugd/f4d9b9_b7cedc0553604720b7137f8663366ee5.pdf,Sam,,
40,Kelly Brogan MD,https://www.youtube.com/user/KellyBroganMD,Mixed ,Anti-Vaxx,"22,700",Kelly Brogan, Based on the report: https://252f2edd-1c8b-49f5-9bb2-cb57bb47e4ba.filesusr.com/ugd/f4d9b9_b7cedc0553604720b7137f8663366ee5.pdf,Sam,,
41,Dr. Ben Tapper,https://www.youtube.com/channel/UCV34-Z_GmMMpZwXvcoqaF-g,Anti-Vaxx,,795,Ben Tapper, Based on the report: https://252f2edd-1c8b-49f5-9bb2-cb57bb47e4ba.filesusr.com/ugd/f4d9b9_b7cedc0553604720b7137f8663366ee5.pdf,Sam,,
42,My Incredible Opinion with Forrest Maready,https://www.youtube.com/channel/UCwc0nUV55sTXXwS2E8UchmA,Anti-Vaxx,,"13,300",,Shared on CrowdTangle data on fb groups,Sam,,
43,Debunk the Funk with Dr. Wilson,https://www.youtube.com/channel/UCJ2SN2gN1dmrFBEo6TWIzOw,Pro-Vaxx,,"4,047",,Shared on CrowdTangle data on fb groups,Sam,,
44,THEGREATREOPENING,https://www.youtube.com/channel/UCsw-fkjvZA2U5KLOLs1KLmw,Anti-Vaxx,Conspiracy,"20,400",,Shared on CrowdTangle data on fb groups,Sam,,
45,Danny Tommo,https://www.youtube.com/channel/UCe_NpqhP5Y2_25OoXcmNsGA,Anti-Vaxx,Anti-Vaxx-Passports,"25,400",,Shared on CrowdTangle data on fb groups,Sam,,
46,EntertheStars,https://www.youtube.com/channel/UCxgB6grGSx3bcB3vlcy7Tfg,Conspiracy,Anti-Vaxx,"96,100",,Shared on CrowdTangle data on fb groups,Sam,,
47,CinemaLibre,https://www.youtube.com/channel/UCPRV4ofh41GyxezlTw0kkqA,Conspiracy,Anti-Vaxx,"7,025",,Shared on CrowdTangle data on fb groups,Sam,,
48,Paul Joseph Watson,https://www.youtube.com/channel/UCittVh8imKanO_5KohzDbpg,Anti-Vaxx-Passports,Conspiracy,"1,880,000",,Shared on CrowdTangle data on fb groups,Sam,,
49,Dr. Frita,https://www.youtube.com/channel/UCBve_ppCNE67fs3MsIocitg,General info on vaccines,,"275,000",,Shared on CrowdTangle data on fb groups,Sam,,
50,Unity News Network,https://www.youtube.com/channel/UC44ygHhf5-2W-uR44BpPVdg,Mixed ,,"38,700",,Shared on CrowdTangle data on fb groups,Sam,,
51,PowerfulJRE,https://www.youtube.com/c/joerogan/videos,Mixed ,Anti-Vaxx-Passports,"10,500,000",,Shared on CrowdTangle data on fb groups,Sam,,
52,Front Line COVID-19 Critical Care Alliance - FLCCC,https://www.youtube.com/channel/UC5rJlf5jdr_I6qiozbQdx-g,General info on vaccines,,"5,024",,Shared on CrowdTangle data on fb groups,Sam,Strongly promoting Ivermectin,
53,A CALL FOR AN UPRISING,https://www.youtube.com/channel/UC00z8749lKJS62I5NTScwMg,Anti-Vaxx,Conspiracy,"93,300",,Shared on CrowdTangle data on fb groups,Sam,,
54,talkRADIO,https://www.youtube.com/channel/UCm0yTweyAa0PwEIp0l3N_gA,Right-wing News Channel,Anti-passport,"267,000",,Twitter data,Ulas,They are a news channel but appeared on so many tweets criticizing UK Government and vaccine passport. Comments include some anti-vax too. May be interesting to track,
55,Subject Access,https://www.youtube.com/channel/UCnGBNHhhgXeTjmqM_C-drsg,Right-wing News Channel,Anti-lockdown etc,"42,400",,Twitter data,Ulas,"Covers anti-lock down protests, anti-vaccine etc. Comments have a lot of negative comments. Also from the uK",
56,Idaho Freedom Tv,https://www.youtube.com/channel/UCPQsmBrZLNgVp7g_XV73dKw,Anti-vaxx,Libertarian think tank,5600,,Twitter data,Ulas,,
57,Tracey O' Mahony Barrister at Law,https://www.youtube.com/channel/UC2TVSCwWPQQscAqFlFWRIDw/videos,Anti-vax,,"11,900",,Twitter data,Ulas,"Irish but has a lot of videos against mandatory vaccine, lockdowns. etc.",
58,RonPaulLibertyReport,https://www.youtube.com/channel/UCkJ1N-7g9Q6n7KnriGit-Ig,Anti-vax,,"281,000",,Twitter data,Ulas,"Not directly anti vax but skeptical. Has a lot content cricitising government, vaccines etc. Comments may be interesting to follow",
59,Bret Weinstein,https://www.youtube.com/channel/UCi5N_uAqApEUIlg32QzkPlg,General ,,"284,000",,Twitter data,Ulas,"Has some content on vaccine, especially this video got a lot of engagement https://www.youtube.com/watch?v=BNyAovuUxro&t=23s",
60,Association of American Physicians and Surgeons,https://www.youtube.com/user/aapsonline/videos,General,,"82,400",,Twitter data,Ulas,,
61,Sputnik V,https://www.youtube.com/channel/UCLvQuKL3Nn7NnT9Jyi_dlgQ,Sputnik-V,,"55,300",,Twitter data,Ulas,,
62,Covexit News and Analysis,https://www.youtube.com/channel/UChsuq2uAwfsUK707FocaT8Q,Mixed ,,"7,610",,Twitter data,Ulas,,
63,Ohio Department of Health,https://www.youtube.com/channel/UCBYbGpgjIoXKHwr4hYUU10g,General,,"21,400",,Twitter data,Ulas,,
64,North Carolina Department of Health and Human Services,https://www.youtube.com/user/ncdhhs,General,,"3,000",,Twitter data,Ulas,,
65,Michael Heaver,https://www.youtube.com/channel/UCnVjidHzypKf5oTKWSA1G3g,Right-wing Youtuber,,"58,700",,Twitter data,Ulas,From the UK but has a lot of content on covid. Maybe interesting to follow,
66,Big Brother Watch,https://www.youtube.com/channel/UCNDWHbVrIRW_FQ8rkE1Z1GQ,Civil liberties advoacy group/Right-wing,,"8,000",,Twitter data,Ulas,From the UK but has a lot of content on covid. Maybe interesting to follow,
67,Bright Light News,https://www.youtube.com/channel/UCxCYYyKOs0Eoh9vLm9UEX3g,Anti-vax,,"2,800",,Twitter data,Ulas,,
68,Children's Health Defense,https://www.youtube.com/channel/UCZcW0uVZDTaEXfBS-JV-zUg,Anti-vax,,"43,800",,Twitter data,Ulas,,
69,Pandemic Podcast,https://www.youtube.com/channel/UCzoK4wqTk85XzSTdy1XHz3g,Anti-vax,,"10,300",,Twitter data,Ulas,,
70,Geert Vanden Bossche,https://www.youtube.com/channel/UC_yhGQiJ5lTmOaoIQA91GzA/videos,Anti-vaxx,,"24,200",,Saw his name in the tweets,Ulas,He is not against vaccines per se but against mass vaccination at the moment. Seems like he is becoming increasingly popular among anti-vax people and hesistants,
71,Vejon Health,https://www.youtube.com/channel/UCSxeKmlI8XLrI1eMaqqM-kg,Mixed ,,"16,000",,Twitter data,Ulas,"The video with Geert Vanden Bosche has 1,2 million views https://www.youtube.com/watch?v=ZJZxiNxYLpc",
72,Biblical Prescriptions for Life,https://www.youtube.com/channel/UCQwPX_sEaDhYEfbnmh6dAow,Anti-vax,,"59,500",Geert Vanden Bossche,,Ulas,Anti-vax basing it on Christian faith-Bible. Quite interesting.,
73,Benjamin Neuman,https://www.youtube.com/channel/UCzO29pYlZACoX-9a895PPtw/videos,General info on vaccines,,984,Geert Vanden Bossche,,Ulas,,
74,Debunk the Funk with Dr. Wilson,https://www.youtube.com/channel/UCJ2SN2gN1dmrFBEo6TWIzOw,General info on vaccines,,"48,600",Geert Vanden Bossche,,Ulas,,