Channel name,Content,Link to the video(s),Observation,Channel url,subscriberCount,viewCount,videoCount,videos
INFORMATION WARFARE ,Anti mask; anti obligatory vaccines,https://www.youtube.com/watch?v=Iu7V4MSjQGo,,https://www.youtube.com/channel/UCUbCBA3uLH49uOeKBA9zQ3A,32,10507,32,['Iu7V4MSjQGo']
Carl Vernon,political discussion,https://www.youtube.com/watch?v=ajLusoPEByA,,https://www.youtube.com/channel/UC7rlvlj-jumO7LrXpP-8NZQ,72500,24257278,901,"['TcAd2hHjono', 'hJvQoTEdy-s', 'kEgptKg1SpI', 'gBVn1nji9Zs', 'G6GMwvP-mKw']"
CrowderBits ,political discussion,https://www.youtube.com/watch?v=vfWNMu-LFhY,,https://www.youtube.com/channel/UCMAtX9eFBpwc4LtgvbqsOpQ,952000,228710414,1053,"['vfWNMu-LFhY', '_JH0DSQl4xQ', 'Uobf3afHgpk', 'rWQpkYc7VRE', 'Z3oDCGC_gjI']"
TateChasers,political discussion,https://www.youtube.com/watch?v=PyP_U2Z_9BE,anti vaccines for people under 40 ,https://www.youtube.com/channel/UChS7p2emhoFlyDSthDk7PWA,2040,570012,82,"['PyP_U2Z_9BE', '9ZAqa2SCNKQ', 'DggK5Ps9-oo']"
Reverend simon sideways ,Vlogs,https://www.youtube.com/watch?v=hfFuxNH7HQs,anti obligatory vaccine,https://www.youtube.com/channel/UCfDcxQbCSGqaBYuwNzzM4Sw,32900,1868668,144,"['hfFuxNH7HQs', 'kV3HXT66o0k', 'DsPmX7Sqi8o', 'chsmA1SdnOk', '5R-VpNow_NE']"
TFIglobal,News,https://www.youtube.com/channel/UCZz8q2tZC7QuQiFwPKQ4Bug,Anti Chinese vaccine - many examples,https://www.youtube.com/channel/UCZz8q2tZC7QuQiFwPKQ4Bug,334000,151726839,1089,"['4ysJC3LVs2s', 'qOZ3w3LNck8', 'bU4mbpos698', 'cUFdd8YdVuI', '8DzMJjGkAhg']"
David Mongielo,Variety content,https://www.youtube.com/watch?v=0OlhjkucXtg,Anti mRNA,https://www.youtube.com/channel/UCAmLN5U6ndPgEcc4XpMBdxg,491,217739,172,"['jLnpK6aCjss', 'eK-goJoLs6M', 'sbR7JSlPdwQ', 'Ud9rkZFw2_Y', 'PzWDOGs27Is']"
Petrified News,Short news videos,https://www.youtube.com/channel/UCnCJI5CILRrdK24R48H2r6w/featured,Anti vaccine - many examples,https://www.youtube.com/channel/UCnCJI5CILRrdK24R48H2r6w,392,51392,110,"['YnXsqcbttBE', 'DKsRCDxf7Ic', 'icA3nnBSeQQ', 'ESQfXaeeJ6I', 'rylLg2Rjbik']"
Victory Entertainment,Clips from TV,https://www.youtube.com/watch?v=0RN6lvlD_nM,antivaxx ,https://www.youtube.com/channel/UCEMLBAiyLY4tCUxQ9OJaBlA,1600,133703,189,"['X2Xzaw01bDc', '0RN6lvlD_nM', 'ZZoezxaqp8U', 'QWa810hqOnU']"
WE GOT A PROBLEM,US politician clips,https://www.youtube.com/watch?v=bcereQc4A-U,maybe antivaxx,https://www.youtube.com/channel/UCLWT1NTlgP7CCs4ZNNpe5AQ,160000,81670386,1218,"['bcereQc4A-U', 'MCq7Z5X8LJE', '2842IgeRrjs', 'g3qdjdgHDV8', '57N5Jnt2erg']"
Lightbeamer 2,videos from other content creators,https://youtu.be/3oLJASMKy6E,seems to be antivaxx (video description)  ,https://www.youtube.com/channel/UCUyIdrYUJt036l00tkHfx0w,3650,348236,53,"['DKcSNrGf4dE', 'XrFGlJxvE3E', '3oLJASMKy6E', 'CcuHSy3gOOI', 'Qv53kU81IBc']"
Mr.Sauceman X,news discussion,https://youtu.be/CEtwYN6bA5o,pro hydroxycloroquine,https://www.youtube.com/channel/UCYpe0dPGgAW70SWBECOeM4A,2590,530257,365,"['R0saxyv-mMQ', 'AbQM8RgHsyI', 'Cx9S827FVmA', 'crpBcezDUkA']"
Veritas TV,news ,https://youtu.be/86Lsh4MkJaM,antivaxx/has removed covid content,https://www.youtube.com/channel/UCzAKaxOOeD8MnZ4_LitjWpA,95900,10466271,1469,"['h3UJEmu3V5k', 'IkWnL98mch8', '86Lsh4MkJaM', 'kf0Mz-Qh_oQ', 'L18bAoHMOCw']"
China Uncensored,anti-China news,https://www.youtube.com/c/ChinaUncensored/search?query=vaccine,anti-chinese vaccines ,https://www.youtube.com/channel/UCgFP46yVT-GG4o1TgXn-04Q,1600000,353456828,1440,"['QaW7qizscDo', 'GirhNWy9yXY', '6LZWNyxhHMI', 'Q6SIzeB3qy0', '3MUkgpz_k_g']"
The Pholosopher,music ,https://www.youtube.com/watch?v=CqoYT2hIflQ&ab_channel=ThePholosopher,anti-mandatory vaccines ,https://www.youtube.com/channel/UCT5KWZpslhrYKBhdCUUzr1Q,28000,930092,197,"['Jjm-5MjXlEQ', 'EutjY759v10', 'r9ERSo4Oo_I', '7kJ6E4B1qcs', 'KQQmscgq8cQ']"
Unidentified-Whistleblower,conspiracy theories,https://youtu.be/13BfC5pkYLw,,https://www.youtube.com/channel/UCAyKDaEmdk3MAv14P3X_-tw,70,1015,11,"['13BfC5pkYLw', 'CPB6LmP7PNE', '0rkUZIUWlEs', 'hOS9G63tUvU']"
Dr. Steve Turley,political discussion,https://www.youtube.com/watch?v=l38F2vpAM7o,not sure if really is antivaxx; but the video commenters are ,https://www.youtube.com/channel/UCCsiAKRKcgzA_372WbXNBaw,747000,226288347,2091,"['l38F2vpAM7o', 'onOkWAeFGyc', '77i3znPwRRk', 'VqylmrwKSvk', 'BO7BMgt3kj0']"
John Talks,Clips from Tv,https://www.youtube.com/watch?v=dwapy1PYezI,not sure if really is antivaxx; but the video commenters are,https://www.youtube.com/channel/UCUZAUoL2_bd9cR8R5T_iSlQ,116000,61305460,1186,"['dwapy1PYezI', 'qtHh-0RgYfo', 'DiRExjszC8k', 'ANw4aB39cdQ', 'FJXAm7yZJKQ']"
Body Language Ghost,Analising body language,https://www.youtube.com/watch?v=yfM6FpLeNZA,Bill gates conspiracy; many comments about vaccines being used to lower population,https://www.youtube.com/channel/UC7n8r27jRnjpYpfyEfBOLFw,-1,28798302,218,"['yfM6FpLeNZA', 'w94PhaEXtBo', 'VGQeeqpfqxw', 'OR9q_pXXmIo', '_vrcOBFT5Sk']"
Odair Del Pozzo,vlogs and political discussion,https://www.youtube.com/watch?v=aImbE8iITbs&ab_channel=OdairDelPozzo,pro-Hydroxychloroquine in lieu of vaccines,https://www.youtube.com/channel/UCXA6RQ5Je4HiagqAPpuX1sw,94300,8620381,505,[]
Daniel Silveira - Deputado Federal,,https://www.youtube.com/watch?v=cQ3emytYCtA&ab_channel=DanielSilveira-DeputadoFederal ,anti-obligatory vaccine; albeit not anti-vaccine,https://www.youtube.com/channel/UCXwAKQLIE7lTs21VJ1oSBhA,73100,1934719,361,[]
Augusto Almeida,vlogs and news discussion,https://www.youtube.com/watch?v=bUtqE5YqGJ8&ab_channel=AugustoAlmeida,anti-obligatory vaccine ,https://www.youtube.com/channel/UCKNsAq3tNpbvATnAbK3nwDA,23900,3133897,1090,[]
o porao da mamae,livestreams,https://youtu.be/Qlu0AxxvMYA?t=3162,anti-obligatory vaccine ,https://www.youtube.com/channel/UCl4GlGXR0ED6AUJU1kRhRzQ,20400,451732,427,[]
Novo Brasil NotÃ­cias,news,https://www.youtube.com/channel/UCXqTpcsO4kgwk5K5v76Ushw/search?query=vacina,anti-obligatory vaccine ,https://www.youtube.com/channel/UCXqTpcsO4kgwk5K5v76Ushw,829,57082,708,[]
Os Pingos nos Is,news ,https://www.youtube.com/c/ospingosnosis/search?query=vacina,,https://www.youtube.com/channel/UCzjtGnD7qqeaHW3nvDVrjQA,3350000,1298480163,6364,"['KKOUjb11B0Q', 'aFWoUUS0sLk']"
Arthur Weintraub,politician ,https://youtu.be/4dNyie-ouqQ,anti-obligatory vaccine,https://www.youtube.com/channel/UCmnSD245HC6yT_ABIIfEcNQ,38400,474030,82,[]
Jair Bolsonaro,politician ,,,https://www.youtube.com/channel/UC8hGUtfEgvvnp6IaHSAg1OQ,3380000,231714704,2809,"['SVW7FxCjDv0', 'opKbf7IOcck', 'o6Aw3JzK82w']"
Eduardo Bolsonaro,politician ,,,https://www.youtube.com/channel/UCkR6xPOHhpjq3wnFchVI4sg,831000,67517353,1658,['SxKzbmlvIUY']
Flávio Bolsonaro,politician ,,,https://www.youtube.com/channel/UCl2HptoHv6PjZMQAwTdA--Q,311000,24895105,1506,"['dudIBic6UZU', 'B7F69dRAmrA', 'sReUGEpns8g', '-Q1_vP8GYCg', 'nFCgRtKEmnk']"
Carlos Bolsonaro,politician ,,,https://www.youtube.com/channel/UCBrntWupyTRnnsRy3dA4VdA,294000,49699371,1234,"['jpYQvc059LQ', 'bi6iYioXYpE', 'd09tsTSPD50']"
Carla Zambelli,politician ,,,https://www.youtube.com/channel/UCX9VzlP1DyeasSivEr9Eddw,451000,40132215,2629,"['SdcFrIIxod4', 'KMZY7kd9WG8', 'FSaM1HyObu4']"
